arxiu_origen,categoria,data_factura,cost_euros,descripcio
Aigua-image001.png,Aigua,25/02/2024,, Consum d'aigua cicle facturació 1 - 193L
Aigua-image002.png,Aigua,28/02/2024,, Consum d'aigua cicle facturació 2 - 154L
Aigua-image003.png,Aigua,29/02/2024,, Consum d'aigua cicle facturació 3  - 175L
F035-MaterialOficina,Lyreco (Material),30/04/2024,"277,13 €", Material d'oficina divers (Marcadors...)
F036-Lyreco-Material,Lyreco (Material),31/05/2024,"261,24 €",Material Lyreco (Pissarra i paper)
F039-NP.png,Lyreco (Material),13/09/2024,"1.012,98 €","Material Lyreco (Serveis, materials (fusta/ferro)"
F041-NP.png,Lyreco (Material),05/07/2024,"348,48 €",Material Lyreco (Serveis)
F046-NP.png,Lyreco (Material),23/05/2024,"2.548,02 €",Material Lyreco (Serveis i connexions)
Desclasificat.png,Material Informàtic,19/06/2024,"28,40 €",Recanvi marcador de pissarra
F055-Neteges.png,Neteja i Residus,20/06/2024,"750,26 €","Productes de neteja, paper higiènic, lleixiu"
F056-Neteges.png,Neteja i Residus,27/05/2024,"454,72 €",Productes de neteja i manteniment
F078-DIGI-MAIG.png,Telecomunicacions,01/05/2024,"30,00 €",Serveis d'accés a Internet Digi
F294-O2-Març.png,Telecomunicacions,04/03/2024,"50,00 €",Serveis d'accés a Internet O2
F327-34.png,Subministraments,30/06/2024,"34,36 €",Despeses generals operacionals
F328-198.png,Subministraments,31/10/2024,"198,56 €",Despeses generals operacionals
